Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",13.704,8.99586,13.1223,2.81978,32,32,0,0,,185.504,740.075,143.736,62.19,58.12,15.0695,45.6335,0.4506,6.5588,214.98,10.4301,2.21398,4.71102,0.73112,0.290485,0.0616607,0.2288239188492298,0.208955,1.02084,0.281035,0.755797,,,2.71746,6.0461,5.72047,9.890000343322754,,,,,,,1088.5,5.852150537634409,1006,5.408602150537634,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",13.7123,8.95194,13.046,2.8198,32,32,0,0,,185.056,728.505,140.254,62.33,57.98,19.391,37.8984,0.494179,5.92976,222.511,10.8216,1.84315,5.87124,0.94306,0.305434,0.0520221,0.25341232493519783,0.204847,0.962696,0.272967,0.767011,,,2.80305,5.81448,5.64841,6.440000057220459,,,,,,,1085.3,5.866486486486486,992,5.3621621621621625,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",14.2063,9.07326,14.9196,3.1599,32,32,0,0,,194.56,781.803,156.443,73.46,68.31,22.0784,47.9528,0.573569,5.55919,235.026,10.8719,2.21821,4.90119,1.02131,0.30062,0.0613362,0.2392837405204773,0.214808,1.05055,0.285162,0.754734,,,3.01951,5.48946,5.06684,10.5600004196167,,,,,,,1074.8000000000002,5.511794871794873,997,5.112820512820512,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",13.41,9.90064,15.3121,3.35012,32,32,0,0,,196.032,804.32,182.345,78.3,72.97,15.348,45.7127,0.827672,6.23211,185.814,8.53087,2.09871,4.06482,0.704642,0.231019,0.0568339,0.1741856038570404,0.242358,1.16337,0.302961,0.724971,,,3.05215,5.10591,4.56448,54.88999938964844,,,,,,,1008.7,5.146428571428571,1001,5.107142857142857,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cole Ragans","KCR",11.8287,8.66972,12.2824,3.3102,29,29,0,0,,168.461,692.455,131.139,66.12,61.96,17.7338,60.0902,0.570566,5.41866,210.66,11.2545,3.21031,3.50572,0.947423,0.304222,0.0867785,0.21744300425052643,0.209171,1.13515,0.284543,0.751849,,,3.16925,4.51288,4.00383,49.720001220703125,,,,,,,908.1999999999999,5.405952380952381,833,4.958333333333333,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Cristopher Sánchez","PHI",12.8171,9.38271,12.5635,3.30015,32,32,0,0,,180.128,736.174,162.479,71.39,66.05,15.3977,44.293,0.457278,5.48334,175.225,8.75501,2.21307,3.95604,0.769338,0.238021,0.0601664,0.1778545044362545,0.236713,1.14792,0.29667,0.730945,,,3.12986,4.48514,4.25454,29.389999389648438,,,,,,,929.3,5.1627777777777775,908,5.044444444444444,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Chris Sale","ATL",11.8157,8.30302,12.9722,3.59011,28,28,0,0,,168.112,692.539,141.787,71.88,67.06,18.8933,46.9937,0.438916,8.88675,208.564,11.1656,2.51584,4.43812,1.01147,0.301158,0.0678571,0.23330069333314896,0.222704,1.12294,0.300325,0.720142,,,3.1121,4.44001,3.33859,33.439998626708984,,,,,,,890.3,5.2994047619047615,843,5.017857142857143,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Bryan Woo","SEA",12.5483,9.66618,12.5839,3.32005,32,32,0,0,,180.16,718.406,147.731,71.03,66.46,23.5028,34.0098,0.478313,6.56882,181.418,9.06286,1.69898,5.33429,1.1741,0.252529,0.0473407,0.20518805086612701,0.217947,1.00877,0.26269,0.743839,,,3.4928,4.25269,4.25454,41,,,,,,,891,4.95,827,4.594444444444444,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Jesús Luzardo","PHI",12.2903,9.80166,14.1394,3.74976,31,31,0,0,,184.14,765.255,160.717,82.83,76.72,22.242,57.8493,0.513816,5.71328,205.396,10.0389,2.82743,3.55053,1.0871,0.268402,0.0755948,0.19280683249235153,0.229043,1.18696,0.292109,0.724207,,,3.51008,4.13201,3.20717,70.27999877929688,,,,,,,890.4,4.839130434782609,852,4.630434782608695,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"George Kirby","SEA",11.7876,9.90399,12.9713,3.63992,31,31,0,0,,177.754,722.815,159.07,76.93,71.89,21.7655,35.2234,0.477329,6.51736,170.634,8.63948,1.78343,4.84432,1.10203,0.236068,0.0487309,0.18733718246221542,0.233557,1.09305,0.280973,0.716409,,,3.51154,4.1221,3.45735,64.55999755859375,,,,,,,849.1999999999999,4.770786516853932,820,4.606741573033708,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Yoshinobu Yamamoto","LAD",12.866,7.11098,12.2463,3.26007,28,28,0,0,,165.116,673.863,135.644,64.12,59.81,15.6762,50.2478,0.396934,5.39376,179.198,9.76755,2.73887,3.56628,0.854464,0.265926,0.0745669,0.19135920703411102,0.21941,1.12582,0.283379,0.742759,,,3.20975,4.10879,4.02722,24.719999313354492,,,,,,,863.6,5.233939393939394,810,4.909090909090909,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Logan Gilbert","SEA",11.0342,8.92508,11.0694,3.40988,29,29,0,0,,160.95,645.641,130.469,65.32,60.98,21.3497,36.6119,0.50359,4.93313,188.861,10.5607,2.04726,5.15845,1.19383,0.292517,0.0567063,0.2358105517923832,0.215974,1.03809,0.277034,0.741745,,,3.2871,4.03493,3.63707,39.060001373291016,,,,,,,847.1000000000001,5.261490683229814,784,4.869565217391305,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Hunter Brown","HOU",12.1651,9.72948,13.4339,3.59976,31,31,0,0,,180.637,747.431,151.692,76.91,72.25,19.6907,61.0194,0.548994,7.08955,194.654,9.69837,3.04021,3.19003,0.981061,0.26043,0.0816388,0.17879167199134827,0.223299,1.17756,0.283887,0.733489,,,3.52818,3.93835,3.6582,38.720001220703125,,,,,,,884.2,4.8850828729281774,831,4.5911602209944755,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Max Fried","NYY",13.8393,8.59429,14.3608,3.31022,31,31,0,0,,187.302,770.662,158.091,74.14,68.89,17.6754,59.2134,0.495436,7.0612,174.879,8.40305,2.84525,2.95336,0.849316,0.22692,0.0768344,0.15008563548326492,0.224437,1.16018,0.274338,0.743484,,,3.5561,3.9342,4.40055,58.279998779296875,,,,,,,903.5999999999999,4.832085561497326,853,4.561497326203209,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Dylan Cease","TOR",12.6187,9.96929,14.0832,3.78017,32,32,0,0,,186.944,777.414,151.741,83.84,78.52,24.9226,68.9836,0.641225,6.28449,224.784,10.8217,3.32106,3.25852,1.19984,0.289143,0.0887346,0.20040863752365112,0.21611,1.1807,0.280298,0.7366,,,3.67129,3.88845,3.29697,69.77999877929688,,,,,,,906.0999999999999,4.845454545454545,835,4.46524064171123,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Spencer Schwellenbach","ATL",10.9759,8.4187,11.2655,3.63025,28,28,0,0,,157.948,644.758,144.782,68.14,63.71,17.732,31.8252,0.596681,5.37516,153.397,8.74068,1.81343,4.81998,1.01039,0.237914,0.0493599,0.18855397030711174,0.238302,1.11814,0.291114,0.714624,,,3.35878,3.83383,3.10617,79.77999877929688,,,,,,,765.8,4.846835443037975,751,4.753164556962025,,,,,,,,,,,,,,,,,,,"Spencer Schwellenbach","31846",680885
"Joe Ryan","MIN",10.9833,10.389,12.2762,3.79,31,31,0,0,,173.042,703.416,144.4,77.64,72.87,26.4298,40.2947,0.444454,7.5669,188.532,9.80563,2.09574,4.67883,1.37463,0.268023,0.0572842,0.2107388898730278,0.220272,1.06734,0.267754,0.724847,,,3.77145,3.75663,3.0182,62.560001373291016,,,,,,,820.0000000000001,4.739884393063584,761,4.398843930635838,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Ranger Suárez",,11.329,9.19951,12.6791,3.58984,29,29,0,0,,169.679,702.402,155.268,72.72,67.68,16.9192,46.5116,0.543753,5.52657,156.031,8.27611,2.46704,3.35467,0.897419,0.22214,0.0662179,0.15592170506715775,0.23874,1.18918,0.289788,0.724676,,,3.51233,3.70145,3.36165,169.44000244140625,,,,,,,798.9000000000001,4.699411764705883,782,4.6,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Hunter Greene","CIN",10.7859,10.9519,13.3834,3.94006,31,31,0,0,,178.901,739.2,146.487,83.41,78.32,26.8382,56.3669,0.483659,9.29953,209.507,10.5397,2.83566,3.71685,1.35015,0.283424,0.0762539,0.20717036724090576,0.21749,1.13389,0.273678,0.722674,,,3.84436,3.54976,2.87929,44.720001220703125,,,,,,,837.9,4.681005586592178,769,4.29608938547486,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Framber Valdez",,12.0791,9.92886,13.7726,3.63014,31,31,0,0,,182.497,764.262,163.935,79.36,73.61,16.315,63.3244,0.476856,8.43596,173.37,8.5499,3.1229,2.73781,0.804591,0.226846,0.0828569,0.1439894586801529,0.236728,1.24528,0.293586,0.723513,,,3.57699,3.50164,3.50661,94.5,,,,,,,856.6,4.706593406593407,835,4.587912087912088,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Freddy Peralta","MIL",12.3123,9.76006,13.9759,3.67023,31,31,0,0,,183.52,757.509,143.609,79.83,74.84,25.3119,67.0682,0.464122,8.35866,204.247,10.0165,3.28909,3.04536,1.24132,0.269629,0.0885378,0.1810915693640709,0.210545,1.14798,0.261416,0.746672,,,3.93528,3.49708,3.53124,62.279998779296875,,,,,,,862.7000000000002,4.68858695652174,778,4.228260869565218,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Brandon Woodruff","MIL",10.7066,8.52426,10.6695,3.47024,28,28,0,0,,155.064,626.416,122.051,63.94,59.79,21.6757,41.2541,0.444504,5.87665,172.662,10.0214,2.39441,4.18534,1.25807,0.275636,0.0658574,0.20977823436260223,0.210692,1.05314,0.26075,0.747335,,,3.6372,3.47723,3.34352,111.77999877929688,,,,,,,764.2,4.930322580645162,694,4.47741935483871,,,,,,,,,,,,,,,,,,,"Brandon Woodruff","16162",605540
