Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",156,667.409,542.657,156.519,76.284,27.2761,0.404069,52.5548,110.227,127.033,113.278,19.087,168.251,6.27533,4.44362,0.496907,9.36685,7.81623,2.88914,0.288431,0.169729,0.252095,0.673272,0.414117,0.630725,0.430598,1.04484,0.342295,3.14866,0.31862,,-0.786758,142.553,63.6933,182.295,-0.786758,0,63.94805234670639,-6.31944465637207,8.24636,2.109999895095825,,,,,,,1276.5,8.182692307,1276.5,8.182692307,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Shohei Ohtani","LAD",157,681.459,577.052,164.403,80.3695,31.4553,3.43801,49.1401,124.136,122.112,93.9417,13.8433,161.372,4.92393,3.72654,0.719658,8.98625,26.1164,8.42566,0.284902,0.137854,0.236803,0.582145,0.387363,0.6068,0.412747,0.994162,0.321898,5.92935,0.311297,,0.680965,135.677,55.1576,168.839,0.680965,0,56.2804291844368,-14.820793151855469,6.5615,1.059999942779541,,,,,,,1233,7.853503184,1233,7.853503184,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",159,676.635,545.841,147.406,82.7756,26.2046,0.41088,38.015,107.178,97.9774,121.802,8.77657,122.734,4.12448,3.83038,1.03789,13.8122,16.4504,6.04509,0.270053,0.180011,0.181389,0.992405,0.404579,0.528501,0.397536,0.933079,0.258448,3.94226,0.281267,,-0.505321,126.361,46.4109,161.211,-0.505321,0,48.583339750766754,-7.661564350128174,6.49005,4.389999866485596,,,,,,,1101.4,6.927044025,1101.4,6.927044025,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Cal Raleigh","SEA",159,626.794,541.694,121.698,59.2936,22.5061,0.764584,39.1337,81.4504,104.924,73.9107,6.96608,172.136,6.24372,4.47579,0.46911,6.47096,7.0357,2.49601,0.224662,0.117919,0.274629,0.429374,0.322281,0.485762,0.342678,0.808043,0.2611,3.53932,0.246534,,-0.489621,89.1356,15.075,127.133,-0.489621,14.95,19.555142790079117,22.11080837249756,6.47016,20.170000076293945,,,,,,,827.9,5.206918238,827.9,5.206918238,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Bobby Witt Jr.","KCR",157,664.92,604.125,176.018,104.51,34.1378,7.15852,30.2114,105.861,95.8836,47.7521,5.01304,113.324,6.45991,5.76696,0.815441,6.97348,36.6446,8.51389,0.29136,0.0718164,0.170433,0.421376,0.346678,0.521592,0.367283,0.86827,0.230232,7.28936,0.312651,,2.82759,107.84,29.2748,134.534,2.82759,0,29.891680240631104,7.268518447875977,6.14342,3.109999895095825,,,,,,,1009.2,6.428025477,1009.2,6.428025477,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",156,669.016,591.06,158.633,95.4866,34.1311,3.85627,25.1589,97.3398,82.0719,66.0908,3.23575,140.868,5.86081,5.50783,0.496606,12.285,20.7415,5.22887,0.268387,0.0987881,0.21056,0.469168,0.344918,0.466879,0.348803,0.811797,0.198491,5.88308,0.310015,,0.922981,98.4668,19.4175,126.266,0.922981,0,21.6336932182312,7.222222328186035,5.30821,14.829999923706055,,,,,,,897.7,5.754487179,897.7,5.754487179,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",159,675.009,612.384,167.851,106.364,26.5753,6.12934,28.7829,96.7885,90.6084,48.6734,3.72945,148.189,9.43451,3.99483,0.522108,11.2019,25.7048,6.60567,0.274095,0.0721079,0.219536,0.328456,0.335009,0.478513,0.347924,0.813523,0.204419,6.63754,0.316491,,1.37466,98.8672,19.1098,130.747,1.37466,0,25.836416602134705,2.253401279449463,5.25094,11.279999732971191,,,,,,,917.7,5.771698113,917.7,5.771698113,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Vladimir Guerrero Jr.","TOR",157,668.722,583.982,174.885,110.81,31.0777,1.06633,31.9309,99.6407,98.5461,72.6173,7.07322,87.5674,7.2072,4.33564,0.580275,16.7374,5.53099,2.14545,0.299469,0.108591,0.130947,0.829273,0.38122,0.520372,0.384166,0.901592,0.220902,3.18552,0.304923,,-0.98421,117.623,38.6088,149.785,-0.98421,0,38.25467026233673,-12.314019203186035,5.00891,18.5,,,,,,,1038.2,6.612738853,1038.2,6.612738853,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Fernando Tatis Jr.","SDP",156,705.684,617.398,168.305,102.284,31.1928,3.21881,31.6086,107.224,94.8514,75.8604,3.31968,140.039,6.83638,4.59148,0.997061,13.8532,25.2097,7.68338,0.272603,0.107499,0.198444,0.54171,0.356189,0.487142,0.362015,0.843331,0.214539,5.62695,0.303538,,0.696191,111.434,28.0518,137.316,0.696191,0,31.906623363494873,-7.422839641571045,4.90712,13.829999923706055,,,,,,,1005.7,6.446794871,1005.7,6.446794871,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ketel Marte","ARI",147,629.488,549.194,151.654,88.2096,31.6527,1.91401,29.8774,86.7939,99.9341,68.4124,4.4665,102.799,6.5073,4.37748,0.607974,13.1691,4.66687,1.72762,0.276139,0.108679,0.163305,0.665498,0.360504,0.503951,0.369034,0.864455,0.227812,3.56098,0.289327,,-0.821557,102.989,28.6099,137.401,-0.821557,0,27.08233004808426,-0.1246439516544342,4.90086,39.38999938964844,,,,,,,917.3,6.240136054,917.3,6.240136054,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Ronald Acuña Jr.","ATL",151,654.858,556.247,154.256,95.3864,25.6943,3.02706,30.1479,106.457,87.5278,85.1672,3.53276,141.81,8.92284,3.98656,0.534653,12.5749,27.5006,9.62789,0.277315,0.130054,0.216551,0.600572,0.379546,0.496988,0.377158,0.876533,0.219672,5.71063,0.319638,,0.329796,111.459,34.0821,143.479,0.329796,0,34.07589694857597,-7.992997646331787,4.89772,7.829999923706055,,,,,,,988.1,6.543708609,988.1,6.543708609,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Corey Seager","TEX",130,545.3,471.001,130.162,76.3505,24.6528,0.416135,28.7429,73.4483,86.3829,60.8666,8.73864,101.367,4.77217,4.42154,0.46458,10.8266,1.53673,0.609439,0.276353,0.11162,0.185892,0.600458,0.361883,0.513536,0.369979,0.87542,0.237184,2.29878,0.293703,,-0.821908,89.6336,25.2022,140.814,-0.821908,0,25.40930426120758,3.5108025074005127,4.87913,105.88999938964844,,,,,,,801.1,6.162307692,801.1,6.162307692,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Yordan Alvarez","HOU",131,565.52,481.596,140.468,77.8721,27.6208,0.868077,34.1066,85.6092,94.2686,70.197,9.25056,93.1237,7.92644,5.30089,0.49907,9.48937,3.08332,1.02983,0.291671,0.124128,0.164669,0.753804,0.386873,0.565088,0.399494,0.95196,0.273417,3.0527,0.295721,,-0.77383,106.509,39.6883,160.316,-0.77383,0,39.42845541238785,-11.755258560180664,4.82275,45.61000061035156,,,,,,,945.4,7.216793893,945.4,7.216793893,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"William Contreras","MIL",152,603.702,526.867,138.627,90.6006,27.1617,0,20.8642,73.2754,81.9961,67.074,2.6859,118.816,4.69381,4.1354,0.931524,15.2397,5.104,1.97462,0.263115,0.111105,0.196812,0.564522,0.349046,0.43347,0.340575,0.782516,0.170355,2.77981,0.300934,,-0.842013,84.8207,13.4887,119.644,-0.842013,5.49,13.213798940181732,13.026117324829102,4.73965,52,,,,,,,747,4.914473684,747,4.914473684,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Francisco Lindor","NYM",159,676.635,595.87,152.527,94.4541,29.4093,1.6306,27.0329,92.5992,82.6068,58.7527,1.12508,126.111,10.3658,4.9343,0.699324,10.1517,23.3563,7.33715,0.255973,0.0868306,0.186379,0.465882,0.330852,0.446903,0.336666,0.777755,0.19093,5.16247,0.280333,,0.594141,92.9205,12.9708,119.513,0.594141,0,16.24266493320465,6.860355377197266,4.66697,17.389999389648438,,,,,,,841.2,5.290566037,841.2,5.290566037,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Will Smith","LAD",126,501.811,428.849,115.95,69.1255,21.2556,1.42677,24.1421,71.8789,72.9156,56.565,2.26379,94.2388,9.23493,5.85966,0.438685,7.85427,2.73048,0.982953,0.270375,0.112722,0.187797,0.600231,0.363131,0.495478,0.367839,0.858609,0.225104,3.4878,0.29023,,-0.732229,81.613,22.3202,138.076,-0.732229,-2.55,21.913349330425262,6.573931932449341,4.62275,114.55999755859375,,,,,,,713.7,5.664285714,713.7,5.664285714,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Kyle Tucker",,152,658,558.471,150.487,88.722,30.3265,2.48385,28.9545,94.7191,90.6132,88.6268,7.59775,98.3837,3.48182,5.3041,0.761135,9.14357,19.8325,6.88506,0.269462,0.134691,0.149519,0.900829,0.369876,0.488198,0.366703,0.858074,0.218736,4.82839,0.278465,,0.00332367,106.408,28.6604,136.614,0.00332367,0,28.477599262725562,-7.037036895751953,4.47209,17.389999389648438,,,,,,,947.4,6.232894736,947.4,6.232894736,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Junior Caminero","TBR",154,653.464,600.409,161.607,95.752,27.9606,0.618903,37.2759,84.7,109.079,42.4242,2.23875,125.848,4.76589,5.31517,0.549406,13.6773,4.69271,1.74244,0.269162,0.0649221,0.192586,0.337107,0.319793,0.504045,0.349872,0.823838,0.234883,3.00415,0.280911,,-0.703896,96.7449,19.5331,124.675,-0.703896,0,18.300443291664124,2.176413059234619,4.39617,13.5600004196167,,,,,,,886.8,5.758441558,886.8,5.758441558,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Mookie Betts","LAD",151,653.358,573.466,152.56,97.1152,33.0177,1.36794,21.0587,85.7348,80.3035,66.125,1.28629,74.179,6.11488,6.28447,0.696453,9.60131,8.52249,3.25944,0.266031,0.101208,0.113535,0.891424,0.344789,0.438543,0.340178,0.783332,0.172512,3.91767,0.271408,,-0.739836,91.5868,14.3875,119.127,-0.739836,0,14.071338891983032,6.990740776062012,4.37892,61.220001220703125,,,,,,,807.3,5.346357615,807.3,5.346357615,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
