Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",156,672,540,154,82,25,1,45,116,110,119,26,165,7,5,2,,9,3,0.285458,0.177,0.245,0.722449,0.417411,0.588284,0.415229,1.00569,0.302826,3.90719,0.325131,-1.47313,-0.402781,135.148,55.7463,171.708,-1.87591,-0.394342,54.91904377937317,-7.294342219829559,7.239,1.8700000047683716,,,,,,,1210.3,7.758333333,1210.3,7.758333333,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",157,679,615,179,107,39,5,28,104,92,50,7,114,7,5,2,,34,10,0.291501,0.0742,0.167201,0.443777,0.349359,0.510659,0.364392,0.860018,0.219157,6.67818,0.315937,2.2909,1.38239,108.53,28.3011,132.543,3.67329,6.70537,29.716838598251343,13.980374336242676,6.86182,3,,,,,,,999.8,6.368152866,999.8,6.368152866,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Julio Rodríguez","SEA",159,686,622,171,106,30,3,33,94,100,49,4,149,9,5,1,,25,7,0.274746,0.0717,0.217193,0.330121,0.334289,0.490217,0.351534,0.824506,0.215471,5.58024,0.309808,0.677934,1.08367,102.488,21.4314,133.234,1.7616,6.14778,28.632158756256104,8.397776126861572,6.20433,10.800000190734863,,,,,,,951.8,5.986163522,951.8,5.986163522,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Juan Soto","NYM",159,686,546,150,85,25,2,38,111,103,129,9,122,4,5,1,,22,7,0.273697,0.1885,0.177612,1.0613,0.413245,0.533654,0.403006,0.946899,0.259958,4.74558,0.285138,-0.764182,0.0569456,131.156,50.0994,164.958,-0.707237,-7.30817,52.10696089267731,-14.958168029785156,6.1359,4.400000095367432,,,,,,,1156.3,7.272327044,1156.3,7.272327044,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Cal Raleigh","SEA",159,637,547,126,64,23,0,39,91,94,79,11,170,6,4,2,,8,3,0.230259,0.1235,0.26653,0.463362,0.330902,0.486822,0.345363,0.817725,0.256563,3.70832,0.254008,-1.78409,-0.326459,92.0332,16.7195,128.983,-2.11055,0.93103,19.662726640701294,8.081030011177063,6.08,19.329999923706055,,,,,,,853.7,5.369182389,853.7,5.369182389,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Gunnar Henderson","BAL",156,672,589,162,97,32,4,28,95,94,71,4,136,6,5,1,,23,6,0.274348,0.1062,0.202016,0.525701,0.356116,0.487896,0.361479,0.844012,0.213547,5.69603,0.310019,1.70378,0.814522,105.822,26.4199,134.997,2.51831,-1.7768,30.23721170425415,5.423197507858276,6.01491,16.1299991607666,,,,,,,954.9,6.121153846,954.9,6.121153846,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Fernando Tatis Jr.","SDP",156,672,584,161,95,30,2,33,106,85,73,4,130,7,4,3,,26,6,0.274785,0.109,0.19326,0.564005,0.359832,0.502455,0.368779,0.862287,0.22767,5.6454,0.299782,0.732269,1.68194,109.805,30.403,141.949,2.41421,3.57596,35.82511615753174,-3.824037790298462,5.56157,13.869999885559082,,,,,,,998.8,6.402564102,998.8,6.402564102,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Shohei Ohtani","LAD",157,679,572,158,81,26,6,45,122,101,94,17,166,5,4,4,,23,6,0.275283,0.1388,0.243764,0.569403,0.379809,0.575514,0.396706,0.955323,0.300231,6.71826,0.308455,0.0949887,0.91606,126.344,46.1151,157.85,1.01105,0,47.56648802757263,-16.975000381469727,5.44118,1.2000000476837158,,,,,,,1169.3,7.4477707,1169.3,7.4477707,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Junior Caminero","TBR",154,665,610,170,97,28,1,43,94,117,45,1,125,5,5,1,,6,2,0.277963,0.0678999,0.187689,0.361769,0.3302,0.539551,0.368351,0.869751,0.261588,3.2944,0.282941,-0.0859633,-0.598979,108.43,29.855,137.405,-0.684942,-1.01689,28.631973326206207,1.1581072807312012,5.38965,13.600000381469727,,,,,,,988.9,6.421428571,988.9,6.421428571,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Francisco Lindor","NYM",159,686,606,157,97,31,1,28,101,78,62,1,126,11,4,3,,24,6,0.259456,0.0898,0.183484,0.489415,0.336608,0.452232,0.341582,0.78884,0.192776,5.21778,0.283305,-0.652438,1.46048,96.9449,15.8887,122.881,0.808046,1.77348,19.411532521247864,8.623483538627625,5.20345,17.06999969482422,,,,,,,879.8,5.533333333,879.8,5.533333333,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Vladimir Guerrero Jr.","TOR",157,679,588,176,108,33,1,34,100,106,78,10,93,7,5,1,,5,2,0.299145,0.1156,0.136456,0.847157,0.385095,0.53279,0.389029,0.917885,0.233644,3.05946,0.303919,-0.536613,-0.929808,122.112,41.8833,153.135,-1.46642,-1.34501,41.05666506290436,-13.67000961303711,5.19305,19.270000457763672,,,,,,,1077.5,6.863057324,1077.5,6.863057324,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
