Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13.9689,8.9716,22.5884,2.81074,32,32,0,0,,199.765,797.146,160.081,68.4834,62.3874,20.3538,43.5425,0.3643,7.1193,242.283,10.9156,1.96172,5.56429,0.917,0.303938,0.054623,0.2493150681257248,0.214446,1.01931,0.288783,0.771663,0.423339,,2.79483,5.85825,5.79614,6,,,,,,,1149,5.745,1071,5.355,4.1,3.68,3.41,3.19,2.99,2.81,2.63,2.43,2.18,3.57,3.38,3.26,3.16,3.06,2.97,2.88,2.77,2.63,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",12.9773,9.6661,21.314,2.90558,32,32,0,0,,193.982,785.032,157.59,68.904,62.6254,17.5014,51.5523,0.5024,7.1666,236.908,10.9916,2.39183,4.59549,0.812,0.301781,0.065669,0.23611216247081757,0.216972,1.07815,0.296858,0.759521,0.444132,,2.77355,5.69512,5.73886,10,,,,,,,1100.4,5.6721649484536085,1033,5.324742268041237,4.27,3.82,3.53,3.3,3.1,2.91,2.72,2.51,2.25,3.74,3.53,3.39,3.28,3.17,3.07,2.96,2.85,2.69,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.5162,9.0342,20.7574,3.01167,32,32,0,0,,192.855,773.587,157.451,70.6549,64.5352,19.5212,49.72,0.4928,6.0061,238.814,11.1448,2.32029,4.80318,0.911,0.30871,0.064272,0.244438074529171,0.219334,1.07423,0.300157,0.759092,0.455553,,2.84127,5.59019,5.38187,9.800000190734863,,,,,,,1084,5.616580310880829,1015,5.259067357512953,4.38,3.93,3.64,3.4,3.2,3.01,2.81,2.6,2.34,3.83,3.63,3.49,3.38,3.27,3.17,3.07,2.95,2.8,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",13.4741,9.3883,21.089,3.15767,32,32,0,0,,198.055,812.7,183.344,77.3882,69.488,17.6489,50.0095,0.4957,6.6796,192.403,8.74314,2.27253,3.84732,0.802,0.236745,0.061535,0.1752099208533764,0.242515,1.17823,0.303493,0.747515,0.544946,,3.20935,4.68906,5.10095,30.200000762939453,,,,,,,981,4.954545454545454,969,4.893939393939394,4.61,4.16,3.87,3.63,3.42,3.23,3.03,2.82,2.54,4.03,3.84,3.7,3.59,3.5,3.4,3.3,3.19,3.03,"Cristopher Sanchez","20778",650911
"Jacob deGrom","TEX",12.0843,9.5911,18.2323,3.47601,30.78,30.78,0,0,,184.508,754.017,159.561,76.8129,71.2613,24.6831,41.9844,0.4637,5.6295,213.722,10.425,2.04793,5.0905,1.204,0.283444,0.055681,0.22776301577687263,0.225878,1.09234,0.288201,0.74695,0.378991,,3.33176,4.30951,3.71006,44.33000183105469,,,,,,,929.5,5.024324324324325,884,4.778378378378378,4.96,4.46,4.13,3.87,3.64,3.43,3.21,2.97,2.67,4.38,4.14,3.98,3.84,3.72,3.6,3.48,3.34,3.15,"Jacob deGrom","10954",594798
"Cole Ragans","KCR",11.8512,8.4984,17.6211,3.22649,29.16,29.16,0,0,,172.018,709.938,138.763,67.1037,61.6683,17.8325,62.1416,0.5971,5.627,210.53,11.015,3.25125,3.38791,0.933,0.296547,0.087531,0.20901614427566528,0.216084,1.16792,0.292238,0.760495,0.399122,,3.21692,4.24901,4.3393,49.66999816894531,,,,,,,907.9999999999999,5.27906976744186,844,4.906976744186046,4.7,4.2,3.88,3.63,3.4,3.19,2.98,2.75,2.46,4.09,3.87,3.72,3.6,3.48,3.37,3.26,3.13,2.96,"Cole Ragans","21846",666142
"Chris Sale","ATL",12.0959,7.4418,17.7369,3.19108,27.54,27.54,0,0,,168.535,685.659,139.777,64.9689,59.7565,18.0894,44.2483,0.5232,8.6084,205.476,10.9727,2.36292,4.64371,0.966,0.299677,0.064534,0.23514298349618912,0.220886,1.09191,0.297352,0.750197,0.416999,,3.03296,4.1505,4.31631,33.130001068115234,,,,,,,916.2,5.4213017751479295,862,5.100591715976331,4.65,4.16,3.84,3.58,3.36,3.15,2.94,2.72,2.43,4.03,3.82,3.67,3.55,3.44,3.34,3.23,3.11,2.94,"Chris Sale","10603",519242
"Logan Webb","SFG",12.4816,10.5081,20.7311,3.3211,32,32,0,0,,199.392,830.798,193.828,81.8582,73.5777,16.8154,46.9102,0.7552,6.0499,187.205,8.44995,2.1174,3.99072,0.759,0.225332,0.056464,0.16886800900101662,0.249189,1.20737,0.308483,0.731503,0.546891,,3.15053,4.0621,3.91161,55.869998931884766,,,,,,,974.1000000000003,4.894974874371861,989,4.969849246231155,4.8,4.35,4.05,3.81,3.6,3.41,3.21,2.99,2.71,4.19,4.01,3.88,3.77,3.68,3.58,3.48,3.37,3.22,"Logan Webb","17995",657277
"Sonny Gray","BOS",11.4652,10.0521,17.0167,3.68365,30.78,30.78,0,0,,181.357,756.916,171.089,80.7055,74.2284,21.2188,47.6948,0.5011,5.6572,189.835,9.42074,2.36689,3.98021,1.053,0.250801,0.063012,0.18778898566961288,0.243175,1.20637,0.304299,0.730274,0.450969,,3.44519,3.87305,3.46659,109.33000183105469,,,,,,,854.5000000000001,4.720994475138122,850,4.696132596685083,5.21,4.72,4.39,4.13,3.91,3.69,3.47,3.23,2.93,4.55,4.35,4.21,4.09,3.98,3.88,3.77,3.65,3.49,"Sonny Gray","12768",543243
"Dylan Cease","TOR",12.3054,9.8264,17.3738,3.60353,32,32,0,0,,184.857,777.691,157.239,80.0197,74.0154,22.4499,67.6218,1.179,5.8895,216.007,10.5166,3.29225,3.19434,1.093,0.277754,0.086952,0.19080201536417007,0.223294,1.2164,0.289419,0.7488,0.382153,,3.5699,3.79963,3.26909,71,,,,,,,900.2,4.865945945945946,849,4.589189189189189,5.07,4.59,4.27,4.02,3.8,3.59,3.38,3.14,2.85,4.42,4.23,4.09,3.98,3.88,3.77,3.67,3.55,3.39,"Dylan Cease","18525",656302
