player_name,mlbid,final_adp,week,x1b,x2b,x3b,hr,bb,hbp,r,rbi,sb,ud_points,week_rank,rank_group
Nick Kurtz,701762,NA,2025-07-21,5,5,0,5,3,0,9,11,1,148,1,IF1
Jose Ramirez,608070,8.37,2025-07-07,2,1,0,4,5,1,10,11,7,140,1,IF1
Pete Alonso,624413,29.95,2025-06-02,5,2,0,5,3,2,9,15,0,140,1,IF1
Cal Raleigh,663728,152.19,2025-06-16,3,2,0,5,3,0,10,12,2,132,1,IF1
Vinnie Pasquantino,686469,131.56,2025-08-18,3,2,0,6,2,1,7,12,0,128,1,IF1
Matt Olson,621566,21.79,2025-09-15,4,4,1,3,4,1,9,10,0,127,1,IF1
Trea Turner,607208,35.91,2025-05-19,6,2,1,3,3,0,8,8,4,125,1,IF1
Freddie Freeman,518692,26.39,2025-05-05,7,3,1,3,2,0,7,12,0,121,1,IF1
Junior Caminero,691406,65.87,2025-05-26,3,4,0,4,1,0,8,13,0,118,1,IF1
Francisco Lindor,596019,17.8,2025-08-11,8,3,0,3,3,0,7,7,2,117,1,IF1
Cal Raleigh,663728,152.19,2025-05-26,2,0,0,6,3,1,6,10,1,114,2,IF1
Jose Altuve,514888,81.09,2025-06-30,4,2,1,3,4,0,9,10,0,112,1,IF1
Otto Lopez,672640,NA,2025-06-23,7,2,0,2,3,1,8,13,1,111,1,IF1
Elly De La Cruz,682829,5.23,2025-06-09,6,2,0,4,2,0,8,7,1,110,1,IF1
Bryce Harper,547180,27.32,2025-04-14,3,2,0,3,7,0,8,9,1,110,1,IF1
Rafael Devers,646240,35.39,2025-08-25,6,2,0,3,4,0,9,10,0,110,1,IF1
Michael Busch,683737,226.9,2025-06-30,7,2,0,4,2,1,7,7,0,110,2,IF1
Trea Turner,607208,35.91,2025-08-18,8,1,1,2,1,0,7,9,4,109,2,IF1
Nick Kurtz,701762,NA,2025-07-07,2,2,0,4,4,0,8,9,1,108,2,IF1
Trevor Story,596115,238.76,2025-06-30,6,3,0,3,1,0,7,10,1,107,3,IF1
Michael Busch,683737,226.9,2025-09-22,0,3,1,4,4,0,6,8,0,106,1,IF1
William Contreras,661388,61.55,2025-07-28,8,2,0,3,2,0,11,5,0,104,1,IF1
Eugenio Suarez,553993,104.99,2025-06-16,5,2,0,4,0,2,5,10,0,103,2,IF1
