player_name,mlbid,final_adp,week,w,qs,outs,so,er,ud_points,week_rank,rank_group
Zack Wheeler,554430,40.13,2025-06-30,2,2,51,22,1,134,1,P1
Ranger Suarez,624133,230.82,2025-08-18,2,2,41,21,2,118,1,P1
Garrett Crochet,676979,45.81,2025-05-26,1,2,41,23,3,116,1,P1
Garrett Crochet,676979,45.81,2025-09-08,2,2,39,22,3,116,1,P1
Merrill Kelly,518876,229.59,2025-05-12,2,2,42,19,1,116,1,P1
Cole Ragans,666142,57.5,2025-04-07,1,2,41,21,2,113,1,P1
Hunter Greene,668881,97.59,2025-04-07,2,2,47,15,0,112,2,P1
Hunter Brown,686613,102.8,2025-04-21,2,2,39,18,1,110,1,P1
Bryan Woo,693433,161.21,2025-09-08,2,2,36,22,4,110,2,P1
Tarik Skubal,669373,28.21,2025-05-19,1,1,44,21,3,108,1,P1
Zack Wheeler,554430,40.13,2025-05-05,2,2,42,17,2,107,1,P1
Hunter Greene,668881,97.59,2025-09-01,1,2,40,19,2,106,1,P1
Kris Bubic,663460,238.54,2025-03-31,2,2,38,16,0,106,1,P1
Tarik Skubal,669373,28.21,2025-06-23,2,1,39,21,4,105,1,P1
Kevin Gausman,592332,125.67,2025-07-21,1,2,39,18,1,105,1,P1
Trevor Rogers,669432,NA,2025-08-18,2,2,42,16,2,104,2,P1
Jesus Luzardo,666200,176.07,2025-05-19,1,2,39,20,4,102,2,P1
Ryan Pepiot,686752,190.49,2025-06-16,2,1,39,18,2,102,1,P1
Brayan Bello,678394,239.54,2025-07-07,2,2,46,15,3,102,1,P1
Paul Skenes,694973,19.33,2025-07-21,2,2,36,15,0,101,2,P1
Tarik Skubal,669373,28.21,2025-08-25,1,2,41,16,1,101,1,P1
Spencer Schwellenbach,680885,86.92,2025-06-23,2,2,42,16,3,101,2,P1
Bryan Woo,693433,161.21,2025-08-04,2,2,39,18,4,101,1,P1
Jose Soriano,667755,238.37,2025-06-16,1,2,41,16,1,101,2,P1
Lucas Giolito,608337,238.53,2025-08-25,2,2,42,14,1,101,1,P1
Tyler Glasnow,607192,109,2025-09-08,2,2,41,15,2,100,3,P1
Nathan Eovaldi,543135,193.86,2025-07-07,2,2,41,14,1,100,2,P1
Paul Skenes,694973,19.33,2025-06-02,0,2,47,15,1,99,1,P1
Bryan Woo,693433,161.21,2025-06-23,1,2,36,18,2,99,3,P1
Ronel Blanco,669854,220.43,2025-05-05,1,2,42,17,3,99,2,P1
Jake Irvin,663623,NA,2025-04-14,2,2,40,15,2,99,1,P1
Nathan Eovaldi,543135,193.86,2025-05-05,2,2,39,14,1,98,3,P1
Ranger Suarez,624133,230.82,2025-06-23,1,2,44,15,2,98,4,P1
Logan Webb,657277,89.7,2025-06-02,0,2,42,17,2,97,2,P1
Freddy Peralta,642547,106.07,2025-07-07,2,2,38,14,1,97,3,P1
Grant Holmes,656550,230.63,2025-06-09,0,1,35,24,5,97,1,P1
George Kirby,669923,127.32,2025-06-30,2,2,37,14,1,96,2,P1
Sonny Gray,543243,129.65,2025-08-04,1,2,42,15,2,96,2,P1
Kris Bubic,663460,238.54,2025-05-19,1,2,42,14,1,96,3,P1
David Peterson,656849,239.2,2025-08-18,1,1,41,18,3,96,3,P1
