id,name,team,position
98591907-81bb-498c-9d95-864e225a7893,Shohei Ohtani,LAD,OF
78976290-9f72-4e68-8e30-b4ded1f1ad09,Aaron Judge,NYY,OF
18a6ac8b-b2db-4ef4-a4d2-5daeb3b85ea8,Corbin Carroll,ARI,OF
facdb5e4-a871-4db2-995d-91e8d16f8c64,Bobby Witt Jr.,KCR,IF
5551e268-9433-4ce9-81c9-d2db580a90cd,Bryce Harper,PHI,IF
f8288078-6e90-425d-b5f5-74908ef6e8d1,Julio Rodriguez,SEA,OF
867083f4-f1ad-4ec0-8171-5e02db19d727,Rafael Devers,SFG,OF
23ebc217-4fc1-456a-92b7-67da44d55031,Kyle Schwarber,PHI,OF
5ba2108c-c116-4a48-a152-1f11d801488d,Juan Soto,NYM,OF
18bcf5c8-883c-432e-b13d-5c53c2f1a7a7,Ronald Acuna Jr.,ATL,OF
6fb28574-a933-4bc8-b49b-1c2cef06aabb,Tarik Skubal,DET,P
30ea866c-b3d4-4761-bcc2-1b94399d228f,Vladimir Guerrero Jr.,TOR,IF
ff21ae8d-34f5-4128-86bb-fb231ca973d7,Cal Raleigh,SEA,IF
19741af5-4cfc-4010-b21f-f3c2f5529d9e,Fernando Tatis Jr.,SDP,OF
ba21a3b2-1218-402a-978a-d2439065a7a6,Garrett Crochet,BOS,P
025fd42c-6a5f-4e98-bd82-e7005f5edb01,Jackson Chourio,MIL,OF
ca3935b2-91f7-4376-87cd-02b8f4acdc14,Paul Skenes,PIT,P
74e2b96c-64a9-4713-82e1-3a22594cd09d,Kyle Tucker,FA,OF
472eb30a-ad94-4700-93fe-33a60e34ed2f,Josh Naylor,SEA,IF
50300cbf-1644-4d6b-a927-f7c6b4c9d2a6,Junior Caminero,TBR,IF
c73171a6-f01f-4a20-b88c-b8fad4b2edb0,Wyatt Langford,TEX,OF
8795d965-c08c-4430-b377-d32a975c8bc9,Gunnar Henderson,BAL,IF
3a2fa4c5-a346-4940-a2fb-7a5697aa6ef6,Elly De La Cruz,CIN,IF
a9d9f29f-f6f4-4b25-be2d-b7d6c999824f,Yordan Alvarez,HOU,OF
2c6abf45-3db4-4f6e-bf84-110e1d23cb86,Geraldo Perdomo,ARI,IF
5905a2d0-de82-4394-8284-3d939f17b2f8,George Springer,TOR,OF
238c5b66-7847-41c9-abe3-3dfb95d095e0,Brent Rooker,ATH,OF
558dc802-b75d-4582-9af5-22160e976073,Jose Ramirez,CLE,IF
96ab5cd8-68f0-46da-8ddd-b0b48b58fa1f,Yandy Diaz,TBR,IF
e263662f-43f5-48a9-b96e-f8a41b76e60c,Oneil Cruz,PIT,OF
2b6a37cd-b7ff-448e-b3c6-5fd530042bf5,Matt Olson,ATL,IF
138a26cc-7e43-4b0f-a9f5-fc749aed7f35,Maikel Garcia,KCR,IF
ab476c21-bffe-4093-ad71-d8948a07a45f,Trevor Story,BOS,IF
26122c47-1314-404e-b1fc-38f0c86bf7ba,James Wood,WSN,OF
b3f2d995-9b0c-4d49-a819-133935fcf87b,Zach Neto,LAA,IF
daf93823-6bb8-41e9-b005-d56bebd6fb52,Jo Adell,LAA,OF
9edf20f9-04b0-4987-b663-af59df855eb0,Cristopher Sanchez,PHI,P
6960c48d-6d0d-4c1e-bd1f-b8f8857d6003,Teoscar Hernandez,LAD,OF
0281e426-4e44-40b7-ab96-c2e97c2548ae,Andy Pages,LAD,OF
3d267858-c5ed-4c28-8af7-6a54df8616a4,Randy Arozarena,SEA,OF
c906ffc7-2c0c-4923-a8e4-37721bb1c350,Taylor Ward,BAL,OF
1006f7cc-d17b-40ac-a200-a6258e5d15af,Logan Webb,SFG,P
90a64cc0-09e4-4fe2-a384-dde066f3e79d,Nick Pivetta,SDP,P
55144a9b-50c1-431c-b0d1-281affc31d88,Bryan Woo,SEA,P
eb369efb-c651-4da3-92d2-5724eda23104,Jacob deGrom,TEX,P
f4e2edc7-2709-4104-8b4f-6d426788e53d,Cole Ragans,KCR,P
63a2d4ce-19b7-466e-a84c-3c8b86a56b24,Seiya Suzuki,CHC,OF
dc8ce163-2a8b-42ee-b954-0addc976645b,Dylan Cease,TOR,P
d6bb8042-0d66-4512-a948-f61010559aff,Chris Sale,ATL,P
96261aa0-3929-4c9b-99d4-d593ff140c13,Riley Greene,DET,OF
49c9e98c-2e46-402f-8584-6d3a12c4e8f0,Mike Trout,LAA,OF
60134643-c98e-41d4-b9aa-38722c001456,Hunter Greene,CIN,P
99b8b6a9-bcaf-4ebb-be4b-d2b12a80c260,Nick Kurtz,ATH,IF
b97e8bb3-b927-40a2-b633-ee4974b4b40a,Vinnie Pasquantino,KCR,IF
68606794-1e7d-4e8b-b10b-54223f0f6f92,Christian Yelich,MIL,OF
086592de-e842-4025-8ae0-7b382ad1bda6,Bryan Reynolds,PIT,OF
b6706183-d55d-4785-878f-171bb27c0913,Ceddanne Rafaela,BOS,OF
ca2b765d-44fd-4c38-9479-30392088f56f,Jose Altuve,HOU,OF
65aa07e3-7120-4214-b3a3-c288a623310e,Bo Bichette,FA,IF
6fce027f-1a81-4e01-b692-00929c6d1d87,Michael Busch,CHC,IF
344bdcfd-eaca-4469-afc1-0c2d7be2a50d,Ketel Marte,ARI,IF
d5b5605a-4f4a-4b24-9924-cd01672edae3,Willy Adames,SFG,IF
f5ab808d-fdf7-49a4-90eb-1cd88b8fe0ce,Jesus Luzardo,PHI,P
dbc4f703-47cd-4df8-a6b4-5c386e68c5a4,Max Fried,NYY,P
f53dbeeb-1a27-4530-93aa-becb1be0028f,Blake Snell,LAD,P
602c55dd-9639-4622-8d01-f132b2fbae61,Pete Alonso,BAL,IF
96a083f6-c5ca-407a-b432-452290cfefb1,Framber Valdez,FA,P
e5f0a3de-2ee7-40f8-aaab-d85eddc8695b,CJ Abrams,WSN,IF
cfe1a00c-2fcf-4d27-838f-10e60773fe47,Joe Ryan,MIN,P
34b7bc5c-1b58-4875-8c3a-6956a5dc6e2f,Hunter Brown,HOU,P
b1b2ea97-51fa-42f3-8d01-d2dd927b4aa0,Jakob Marsee,MIA,OF
1b3d89bf-ae70-4d11-968c-126163b53ea8,Pete Crow-Armstrong,CHC,OF
baa6195d-a423-4d99-947e-89036e011f66,Freddy Peralta,MIL,P
79145823-a92f-47e9-b35b-dde96a75b8b2,MacKenzie Gore,WSN,P
c987b2f8-5fe6-4e20-8403-72b95ae1b753,Matt Chapman,SFG,IF
89d94d75-3294-4b26-90d1-94a38b41fdba,Roman Anthony,BOS,OF
c56d727d-da56-42ef-aea3-dd054e798129,Sonny Gray,BOS,P
7b3319e7-33ae-4deb-bf87-faff90efe940,Francisco Lindor,NYM,IF
8a917b6e-7713-4c3a-87e3-7a277a7e6014,Jazz Chisholm Jr.,NYY,IF
8e86b05e-ab2a-4da7-ba32-f09def9aab4f,Cody Bellinger,FA,OF
d9a5c8bf-e9f3-45e0-bfc5-8ebe8e095ef9,Pablo Lopez,MIN,P
3faf5e8c-ee85-402a-a0a6-e0d5ae8f852c,William Contreras,MIL,IF
b7146f35-48b2-4b7a-ada3-54d6f60f934c,Alex Bregman,FA,IF
b8b42182-f02a-4df1-9a2c-e474e2e5d75c,Bryson Stott,PHI,IF
218615fa-6807-4791-910c-041bb88fe6f4,Matt McLain,CIN,IF
a66902e7-3a4e-4aa3-8b3b-a442317a2640,George Kirby,SEA,P
bf5ff706-3a34-4eac-b8d5-0e77cc7eb374,Robbie Ray,SFG,P
77c0700a-331d-420c-ab29-61ee908c387c,Logan Gilbert,SEA,P
ee465311-4fe0-46ad-ba98-93e444b3e369,Spencer Torkelson,DET,IF
e89bfab9-b928-4758-b01a-fcdacc630caf,Freddie Freeman,LAD,IF
a0f63107-c610-446f-a7ef-4208247e3733,Spencer Strider,ATL,P
